"matrikli_nr","eesnimi","perenimi","isikukood","Sugu","Eelnev haridus","Külalisõppija","Välisõppija","Cum laude","Immatrikuleeritud","Lõpetanud","Käskkirja kinnitamise kp","Käskkirja liik","Käskkirja põhjus","Õpperühm","Õppija staatus","Nominaalaja lõpp","Õppevorm","Koormus","Struktuuriüksus","Õppekava","Õppekava EHIS kood","Õppetase","Spetsialiseerumine","Õppeaasta","Rahastamine","Õppekeel","Õppekava täitmise protsent %","Õppijal on erivajadus","Erivajaduse täpsustus","Õpipoisi ettevõte","Ainepunkte kokku","Ainepunkte perioodis","Kaalutud keskmine kokku","Kaalutud keskmine hinne perioodis","Keskmine kokku","Keskmine hinne perioodis","Võlad kokku","Võlad perioodis","Võlapunktid kokku EAP","Võlapunktid perioodis EAP","Deklareeritud ainepunkte perioodis","VÕTA maht","Aktiivne sooritus aines","Õppeaine","Deklareeritud õppeaine","Deklaratsiooni kinnitus perioodis"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Puudulik F","õppeaine22","õppeaine22","26.03.2024"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Arvestatud A","õppeaine2","õppeaine2","17.09.2024"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Kasin E","õppeaine85","õppeaine85","03.07.2022"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Kasin E","õppeaine29","õppeaine29","05.05.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Puudulik F","õppeaine24","õppeaine24","17.06.2022"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Mittearvestatud MA","õppeaine59","õppeaine59","10.01.2025"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Hea C","õppeaine84","õppeaine84","02.04.2021"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Mittearvestatud MA","õppeaine76","õppeaine76","06.01.2022"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.5","Jah","liikumispuue","NULL","185","47","3.1","3.3","3.3","3.7","4","2","4","4","56","4","Hea C","õppeaine79","õppeaine79","14.07.2022"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Väga hea B","õppeaine67","õppeaine67","04.08.2024"
